Progress=2.4, SNR=3.00, Bit Errors=2487, BER=4.081867E-002, Frame Errors=210, FER=8.823529E-001, addNum=29395.72, mulNum=37599.02, total_num=66994.74, Choice Errors=12, CWR=4.285714E-001
Progress=2.4, SNR=3.00, Bit Errors=2487, BER=4.081867E-002, Frame Errors=210, FER=8.823529E-001, addNum=29395.72, mulNum=37599.02, total_num=66994.74, Choice Errors=12, CWR=4.285714E-001
Progress=2.2, SNR=3.00, Bit Errors=2412, BER=4.244088E-002, Frame Errors=210, FER=9.459459E-001, addNum=27414.12, mulNum=35511.28, total_num=62925.40, Choice Errors= 0, CWR=0.000000E+000
Progress=2.4, SNR=3.00, Bit Errors=2487, BER=4.081867E-002, Frame Errors=210, FER=8.823529E-001, addNum=29395.72, mulNum=37599.02, total_num=66994.74, Choice Errors=12, CWR=4.285714E-001
Progress=2.4, SNR=3.00, Bit Errors=2487, BER=4.081867E-002, Frame Errors=210, FER=8.823529E-001, addNum=29395.72, mulNum=37599.02, total_num=66994.74, Choice Errors=12, CWR=4.285714E-001
Progress=2.4, SNR=3.00, Bit Errors=2487, BER=4.081867E-002, Frame Errors=210, FER=8.823529E-001, addNum=29395.72, mulNum=37599.02, total_num=66994.74, Choice Errors=12, CWR=4.285714E-001
Progress=2.4, SNR=3.00, Bit Errors=2487, BER=4.081867E-002, Frame Errors=210, FER=8.823529E-001, addNum=29395.72, mulNum=37599.02, total_num=66994.74, Choice Errors=12, CWR=4.285714E-001
Progress=2.4, SNR=3.00, Bit Errors=2487, BER=4.081867E-002, Frame Errors=210, FER=8.823529E-001, addNum=29395.72, mulNum=37599.02, total_num=66994.74, Choice Errors=12, CWR=4.285714E-001
Progress=2.4, SNR=3.00, Bit Errors=2487, BER=4.081867E-002, Frame Errors=210, FER=8.823529E-001, addNum=29395.72, mulNum=37599.02, total_num=66994.74, Choice Errors=12, CWR=4.285714E-001
Progress=2.4, SNR=3.00, Bit Errors=2487, BER=4.081867E-002, Frame Errors=210, FER=8.823529E-001, addNum=29395.72, mulNum=37599.02, total_num=66994.74, Choice Errors=12, CWR=4.285714E-001
Progress=2.4, SNR=3.00, Bit Errors=2487, BER=4.081867E-002, Frame Errors=210, FER=8.823529E-001, addNum=29395.72, mulNum=37599.02, total_num=66994.74, Choice Errors=12, CWR=4.285714E-001
Progress=2.4, SNR=3.00, Bit Errors=2487, BER=4.081867E-002, Frame Errors=210, FER=8.823529E-001, addNum=29395.72, mulNum=37599.02, total_num=66994.74, Choice Errors=12, CWR=4.285714E-001
Progress=2.4, SNR=3.00, Bit Errors=2487, BER=4.081867E-002, Frame Errors=210, FER=8.823529E-001, addNum=29395.72, mulNum=37599.02, total_num=66994.74, Choice Errors=12, CWR=4.285714E-001
Progress=2.2, SNR=3.00, Bit Errors=2412, BER=4.244088E-002, Frame Errors=210, FER=9.459459E-001, addNum=27414.12, mulNum=35511.28, total_num=62925.40, Choice Errors= 0, CWR=0.000000E+000
Progress=2.4, SNR=3.00, Bit Errors=2487, BER=4.081867E-002, Frame Errors=210, FER=8.823529E-001, addNum=33981.25, mulNum=44018.83, total_num=78000.08, Choice Errors=12, CWR=4.285714E-001
Progress=2.4, SNR=3.00, Bit Errors=2487, BER=4.081867E-002, Frame Errors=210, FER=8.823529E-001, addNum=33627.37, mulNum=43664.95, total_num=77292.32, Choice Errors=12, CWR=4.285714E-001
Progress=2.1, SNR=3.00, Bit Errors=2334, BER=4.341518E-002, Frame Errors=210, FER=1.000000E+000, addNum=40296.32, mulNum=48420.78, total_num=88717.10, Choice Errors= 0, CWR=-1.#IND00E+000
Progress=2.4, SNR=3.00, Bit Errors=2487, BER=4.081867E-002, Frame Errors=210, FER=8.823529E-001, addNum=33627.37, mulNum=43664.95, total_num=77292.32, Choice Errors=12, CWR=4.285714E-001
Progress=2.4, SNR=3.00, Bit Errors=2487, BER=4.081867E-002, Frame Errors=210, FER=8.823529E-001, addNum=33627.37, mulNum=43664.95, total_num=77292.32, Choice Errors=12, CWR=4.285714E-001
Progress=2.4, SNR=3.00, Bit Errors=2487, BER=4.081867E-002, Frame Errors=210, FER=8.823529E-001, addNum=33627.37, mulNum=43664.95, total_num=77292.32, Choice Errors=12, CWR=4.285714E-001
Progress=2.4, SNR=3.00, Bit Errors=2487, BER=4.081867E-002, Frame Errors=210, FER=8.823529E-001, addNum=33627.37, mulNum=43664.95, total_num=77292.32, Choice Errors=12, CWR=4.285714E-001
Progress=2.1, SNR=3.00, Bit Errors=2334, BER=4.341518E-002, Frame Errors=210, FER=1.000000E+000, addNum=40296.07, mulNum=48420.52, total_num=88716.59, Choice Errors= 0, CWR=-1.#IND00E+000
Progress=2.4, SNR=3.00, Bit Errors=2487, BER=4.081867E-002, Frame Errors=210, FER=8.823529E-001, addNum=33627.37, mulNum=43664.95, total_num=77292.32, Choice Errors=12, CWR=4.285714E-001
Progress=2.4, SNR=3.00, Bit Errors=2487, BER=4.081867E-002, Frame Errors=210, FER=8.823529E-001, addNum=33627.37, mulNum=43664.95, total_num=77292.32, Choice Errors=12, CWR=4.285714E-001
Progress=2.4, SNR=3.00, Bit Errors=2487, BER=4.081867E-002, Frame Errors=210, FER=8.823529E-001, addNum=33627.37, mulNum=43664.95, total_num=77292.32, Choice Errors=12, CWR=4.285714E-001
Progress=2.4, SNR=3.00, Bit Errors=2487, BER=4.081867E-002, Frame Errors=210, FER=8.823529E-001, addNum=33627.37, mulNum=43664.95, total_num=77292.32, Choice Errors=12, CWR=4.285714E-001
Progress=2.4, SNR=3.00, Bit Errors=2487, BER=4.081867E-002, Frame Errors=210, FER=8.823529E-001, addNum=33627.37, mulNum=43664.95, total_num=77292.32, Choice Errors=12, CWR=4.285714E-001
Progress=2.2, SNR=3.00, Bit Errors=2225, BER=3.986884E-002, Frame Errors=210, FER=9.633028E-001, addNum=32212.41, mulNum=42103.40, total_num=74315.82, Choice Errors= 1, CWR=1.250000E-001
