Progress=100.0, SNR=0.00, aver_iterNum=516.65, aver_Max_m=3.00
Progress=100.0, SNR=0.00, aver_iterNum=516.65, aver_Max_m=3.00
Progress=100.0, SNR=1.00, aver_iterNum=516.66, aver_Max_m=3.00
Progress=100.0, SNR=2.00, aver_iterNum=516.67, aver_Max_m=3.00
Progress=100.0, SNR=3.00, aver_iterNum=516.79, aver_Max_m=3.17
Progress=100.0, SNR=4.00, aver_iterNum=517.47, aver_Max_m=3.97
Progress=100.0, SNR=5.00, aver_iterNum=517.48, aver_Max_m=4.00
Progress=100.0, SNR=6.00, aver_iterNum=517.48, aver_Max_m=4.00
Progress=100.0, SNR=7.00, aver_iterNum=517.50, aver_Max_m=4.00
Progress=100.0, SNR=2.00, aver_iterNum=516.66, aver_Max_m=3.00
Progress=100.0, SNR=3.00, aver_iterNum=516.81, aver_Max_m=3.18
Progress=100.0, SNR=4.00, aver_iterNum=517.44, aver_Max_m=3.97
Progress=100.0, SNR=5.00, aver_iterNum=517.50, aver_Max_m=4.00
Progress=100.0, SNR=6.00, aver_iterNum=517.48, aver_Max_m=4.00
Progress=100.0, SNR=7.00, aver_iterNum=517.51, aver_Max_m=4.00
Progress=100.0, SNR=2.00, aver_iterNum=516.66, Max_m=4
Progress=100.0, SNR=3.00, aver_iterNum=516.81, Max_m=4
Progress=100.0, SNR=4.00, aver_iterNum=517.44, Max_m=4
Progress=100.0, SNR=5.00, aver_iterNum=517.50, Max_m=4
Progress=100.0, SNR=6.00, aver_iterNum=517.48, Max_m=4
Progress=100.0, SNR=7.00, aver_iterNum=517.51, Max_m=4
