Progress=100.0, SNR=5.00, Bit Errors=406, BER=3.964844E-003, Frame Errors=23, FER=5.750000E-002, addNum=91205.82, mulNum=81366.07, total_num=172571.88, Choice Errors= 0, CWR=0.000000E+000


Progress=100.0, SNR=5.00, Bit Errors=406, BER=3.964844E-003, Frame Errors=23, FER=5.750000E-002, addNum=91205.82, mulNum=81366.07, total_num=172571.88, Choice Errors= 0, CWR=0.000000E+000

Progress=0.1, SNR=5.00, Bit Errors=3738, BER=4.983468E-003, Frame Errors=210, FER=7.167235E-002, addNum=90700.32, mulNum=81462.04, total_num=172162.35, Choice Errors= 0, CWR=0.000000E+000
Progress=0.0, SNR=5.00, Bit Errors=3127, BER=1.834061E-002, Frame Errors=210, FER=3.153153E-001, addNum=44687.40, mulNum=77391.94, total_num=122079.34, Choice Errors= 0, CWR=-1.#IND00E+000
Progress=0.0, SNR=5.00, Bit Errors=2627, BER=3.800637E-002, Frame Errors=210, FER=7.777778E-001, addNum=44891.77, mulNum=77757.28, total_num=122649.05, Choice Errors= 0, CWR=-1.#IND00E+000
Progress=0.0, SNR=5.00, Bit Errors=3127, BER=1.834061E-002, Frame Errors=210, FER=3.153153E-001, addNum=44687.40, mulNum=77391.94, total_num=122079.34, Choice Errors= 0, CWR=-1.#IND00E+000
Progress=0.0, SNR=5.00, Bit Errors=3127, BER=1.834061E-002, Frame Errors=210, FER=3.153153E-001, addNum=44687.40, mulNum=77391.94, total_num=122079.34, Choice Errors= 0, CWR=-1.#IND00E+000
Progress=0.0, SNR=5.00, Bit Errors=3127, BER=1.834061E-002, Frame Errors=210, FER=3.153153E-001, addNum=44687.40, mulNum=77391.94, total_num=122079.34, Choice Errors= 0, CWR=-1.#IND00E+000
