Progress=2.9, SNR=3.00, Bit Errors=1525, BER=4.165756E-002, Frame Errors=131, FER=9.160839E-001, channelError_count=10.44, successError_count=5.33
Progress=5.3, SNR=4.00, Bit Errors=1192, BER=1.750470E-002, Frame Errors=131, FER=4.924812E-001, channelError_count=6.78, successError_count=4.79
Progress=2.6, SNR=0.00, Bit Errors=3749, BER=1.117903E-001, Frame Errors=131, FER=1.000000E+000, channelError_count=24.12, successError_count=0.00
Progress=2.6, SNR=1.00, Bit Errors=2869, BER=8.554986E-002, Frame Errors=131, FER=1.000000E+000, channelError_count=19.19, successError_count=0.00
Progress=2.6, SNR=2.00, Bit Errors=2136, BER=6.321023E-002, Frame Errors=131, FER=9.924242E-001, channelError_count=14.77, successError_count=5.00
Progress=2.9, SNR=3.00, Bit Errors=1525, BER=4.165756E-002, Frame Errors=131, FER=9.160839E-001, channelError_count=10.44, successError_count=5.33
Progress=5.3, SNR=4.00, Bit Errors=1192, BER=1.750470E-002, Frame Errors=131, FER=4.924812E-001, channelError_count=6.78, successError_count=4.79
Progress=42.8, SNR=5.00, Bit Errors=1030, BER=1.878356E-003, Frame Errors=131, FER=6.115780E-002, channelError_count=3.91, successError_count=3.67
Progress=3.1, SNR=3.00, Bit Errors=1570, BER=3.982346E-002, Frame Errors=131, FER=8.506494E-001, channelError_count=10.36, successError_count=5.74
Progress=2.9, SNR=3.00, Bit Errors=1547, BER=4.139020E-002, Frame Errors=131, FER=8.972603E-001, channelError_count=10.45, successError_count=5.20
Progress=4.7, SNR=4.00, Bit Errors=1143, BER=1.891883E-002, Frame Errors=131, FER=5.550847E-001, channelError_count=6.81, successError_count=4.82
Progress=27.3, SNR=5.00, Bit Errors=983, BER=2.817200E-003, Frame Errors=131, FER=9.611152E-002, channelError_count=3.97, successError_count=3.61
Progress=2.9, SNR=3.00, Bit Errors=1547, BER=4.139020E-002, Frame Errors=131, FER=8.972603E-001, channelError_count=10.45, successError_count=5.20
Progress=100.0, SNR=4.00, Bit Errors= 7, BER=1.367188E-002, Frame Errors= 1, FER=5.000000E-001, channelError_count=6.00, successError_count=5.00
Progress=100.0, SNR=4.00, Bit Errors= 7, BER=1.367188E-002, Frame Errors= 1, FER=5.000000E-001, channelError_count=6.00, successError_count=5.00
Progress=100.0, SNR=4.00, Bit Errors= 7, BER=1.367188E-002, Frame Errors= 1, FER=5.000000E-001, channelError_count=6.00, successError_count=5.00
Progress=100.0, SNR=3.00, Bit Errors=207, BER=4.042969E-002, Frame Errors=18, FER=9.000000E-001, channelError_count=10.35, successError_count=4.50
Progress=100.0, SNR=4.00, Bit Errors=86, BER=1.679687E-002, Frame Errors=10, FER=5.000000E-001, channelError_count=6.40, successError_count=4.50
Progress=100.0, SNR=5.00, Bit Errors=20, BER=3.906250E-003, Frame Errors= 2, FER=1.000000E-001, channelError_count=4.05, successError_count=3.39
Progress=100.0, SNR=3.00, Bit Errors=207, BER=4.042969E-002, Frame Errors=18, FER=9.000000E-001, channelError_count=10.35, successError_count=4.50
Progress=100.0, SNR=4.00, Bit Errors=86, BER=1.679687E-002, Frame Errors=10, FER=5.000000E-001, channelError_count=6.40, successError_count=4.50
Progress=100.0, SNR=5.00, Bit Errors=20, BER=3.906250E-003, Frame Errors= 2, FER=1.000000E-001, channelError_count=4.05, successError_count=3.39
